Sample,Pressure (kPa),EXP_ADS (mL/g),Temparature ©,Depth (m),Moisture (%),VM(%),Ash (%),FC (%),Vitrinite (%),Semi- vitrinite (%),Liptinite (%),Inertinite (%),Mineral matter (%),Mean Ro (%),D–A maximum adsorption (mL/g),DA_E Characteristic adsorption energy (kJ/mol),DA_n Heterogeneity parameter,R2_D–A goodness of fit,DA_P0_2×Pmax​ (kPa)
Sample XIV,500,2.5,55.6,950,0.33,17.53,13.68,82.47,89.49,3.37,7.14,3.37,2,1.13,16.76009845,6.696503639,1.825235436,0.998681448,16000
Sample XIV,1000,5,55.6,950,0.33,17.53,13.68,82.47,89.49,3.37,7.14,3.37,2,1.13,16.76009845,6.696503639,1.825235436,0.998681448,16000
Sample XIV,2000,7.8,55.6,950,0.33,17.53,13.68,82.47,89.49,3.37,7.14,3.37,2,1.13,16.76009845,6.696503639,1.825235436,0.998681448,16000
Sample XIV,3000,10,55.6,950,0.33,17.53,13.68,82.47,89.49,3.37,7.14,3.37,2,1.13,16.76009845,6.696503639,1.825235436,0.998681448,16000
Sample XIV,4000,11.8,55.6,950,0.33,17.53,13.68,82.47,89.49,3.37,7.14,3.37,2,1.13,16.76009845,6.696503639,1.825235436,0.998681448,16000
Sample XIV,5000,13.2,55.6,950,0.33,17.53,13.68,82.47,89.49,3.37,7.14,3.37,2,1.13,16.76009845,6.696503639,1.825235436,0.998681448,16000
Sample XIV,6000,14,55.6,950,0.33,17.53,13.68,82.47,89.49,3.37,7.14,3.37,2,1.13,16.76009845,6.696503639,1.825235436,0.998681448,16000
Sample XIV,7000,14.6,55.6,950,0.33,17.53,13.68,82.47,89.49,3.37,7.14,3.37,2,1.13,16.76009845,6.696503639,1.825235436,0.998681448,16000
Sample XIV,8000,15,55.6,950,0.33,17.53,13.68,82.47,89.49,3.37,7.14,3.37,2,1.13,16.76009845,6.696503639,1.825235436,0.998681448,16000
Sample XI,500,3.2,58,1038,0.41,18.91,37.28,81.09,84.83,4.74,9.95,5.21,2.31,1.13,19.24593782,6.848020426,1.77214499,0.998441874,16000
Sample XI,1000,5.8,58,1038,0.41,18.91,37.28,81.09,84.83,4.74,9.95,5.21,2.31,1.13,19.24593782,6.848020426,1.77214499,0.998441874,16000
Sample XI,2000,9.2,58,1038,0.41,18.91,37.28,81.09,84.83,4.74,9.95,5.21,2.31,1.13,19.24593782,6.848020426,1.77214499,0.998441874,16000
Sample XI,3000,11.7,58,1038,0.41,18.91,37.28,81.09,84.83,4.74,9.95,5.21,2.31,1.13,19.24593782,6.848020426,1.77214499,0.998441874,16000
Sample XI,4000,13.2,58,1038,0.41,18.91,37.28,81.09,84.83,4.74,9.95,5.21,2.31,1.13,19.24593782,6.848020426,1.77214499,0.998441874,16000
Sample XI,5000,15.2,58,1038,0.41,18.91,37.28,81.09,84.83,4.74,9.95,5.21,2.31,1.13,19.24593782,6.848020426,1.77214499,0.998441874,16000
Sample XI,6000,16.1,58,1038,0.41,18.91,37.28,81.09,84.83,4.74,9.95,5.21,2.31,1.13,19.24593782,6.848020426,1.77214499,0.998441874,16000
Sample XI,7000,16.6,58,1038,0.41,18.91,37.28,81.09,84.83,4.74,9.95,5.21,2.31,1.13,19.24593782,6.848020426,1.77214499,0.998441874,16000
Sample XI,8000,17.2,58,1038,0.41,18.91,37.28,81.09,84.83,4.74,9.95,5.21,2.31,1.13,19.24593782,6.848020426,1.77214499,0.998441874,16000
Sample IX,500,1.6,50.8,771,1.65,24.66,7.86,75.34,18.86,55.24,0,81.14,16.09,1.09,13.43715503,5.943112068,1.712587702,0.998901601,16000
Sample IX,1000,3.1,50.8,771,1.65,24.66,7.86,75.34,18.86,55.24,0,81.14,16.09,1.09,13.43715503,5.943112068,1.712587702,0.998901601,16000
Sample IX,2000,5.4,50.8,771,1.65,24.66,7.86,75.34,18.86,55.24,0,81.14,16.09,1.09,13.43715503,5.943112068,1.712587702,0.998901601,16000
Sample IX,3000,7,50.8,771,1.65,24.66,7.86,75.34,18.86,55.24,0,81.14,16.09,1.09,13.43715503,5.943112068,1.712587702,0.998901601,16000
Sample IX,4000,8.6,50.8,771,1.65,24.66,7.86,75.34,18.86,55.24,0,81.14,16.09,1.09,13.43715503,5.943112068,1.712587702,0.998901601,16000
Sample IX,5000,9.8,50.8,771,1.65,24.66,7.86,75.34,18.86,55.24,0,81.14,16.09,1.09,13.43715503,5.943112068,1.712587702,0.998901601,16000
Sample IX,6000,10.6,50.8,771,1.65,24.66,7.86,75.34,18.86,55.24,0,81.14,16.09,1.09,13.43715503,5.943112068,1.712587702,0.998901601,16000
Sample IX,7000,11.1,50.8,771,1.65,24.66,7.86,75.34,18.86,55.24,0,81.14,16.09,1.09,13.43715503,5.943112068,1.712587702,0.998901601,16000
Sample IX,8000,11.6,50.8,771,1.65,24.66,7.86,75.34,18.86,55.24,0,81.14,16.09,1.09,13.43715503,5.943112068,1.712587702,0.998901601,16000
Sample V,500,2.8,53.2,858,0.99,16.91,14.23,83.09,65.34,7.17,5.58,29.08,2.33,1.07,16.41521722,6.92149294,1.817914818,0.999408696,16000
Sample V,1000,5.3,53.2,858,0.99,16.91,14.23,83.09,65.34,7.17,5.58,29.08,2.33,1.07,16.41521722,6.92149294,1.817914818,0.999408696,16000
Sample V,2000,8.1,53.2,858,0.99,16.91,14.23,83.09,65.34,7.17,5.58,29.08,2.33,1.07,16.41521722,6.92149294,1.817914818,0.999408696,16000
Sample V,3000,10.2,53.2,858,0.99,16.91,14.23,83.09,65.34,7.17,5.58,29.08,2.33,1.07,16.41521722,6.92149294,1.817914818,0.999408696,16000
Sample V,4000,11.9,53.2,858,0.99,16.91,14.23,83.09,65.34,7.17,5.58,29.08,2.33,1.07,16.41521722,6.92149294,1.817914818,0.999408696,16000
Sample V,5000,13,53.2,858,0.99,16.91,14.23,83.09,65.34,7.17,5.58,29.08,2.33,1.07,16.41521722,6.92149294,1.817914818,0.999408696,16000
Sample V,6000,13.8,53.2,858,0.99,16.91,14.23,83.09,65.34,7.17,5.58,29.08,2.33,1.07,16.41521722,6.92149294,1.817914818,0.999408696,16000
Sample V,7000,14.4,53.2,858,0.99,16.91,14.23,83.09,65.34,7.17,5.58,29.08,2.33,1.07,16.41521722,6.92149294,1.817914818,0.999408696,16000
Sample V,8000,14.9,53.2,858,0.99,16.91,14.23,83.09,65.34,7.17,5.58,29.08,2.33,1.07,16.41521722,6.92149294,1.817914818,0.999408696,16000
Sample XVI,500,3.4,50.5,760,0.82,18.83,21.84,81.17,88.42,4.51,7.07,4.51,2.08,1,17.40805712,7.361622405,1.892715935,0.998144044,16000
Sample XVI,1000,6.5,50.5,760,0.82,18.83,21.84,81.17,88.42,4.51,7.07,4.51,2.08,1,17.40805712,7.361622405,1.892715935,0.998144044,16000
Sample XVI,2000,9.8,50.5,760,0.82,18.83,21.84,81.17,88.42,4.51,7.07,4.51,2.08,1,17.40805712,7.361622405,1.892715935,0.998144044,16000
Sample XVI,3000,11.5,50.5,760,0.82,18.83,21.84,81.17,88.42,4.51,7.07,4.51,2.08,1,17.40805712,7.361622405,1.892715935,0.998144044,16000
Sample XVI,4000,13,50.5,760,0.82,18.83,21.84,81.17,88.42,4.51,7.07,4.51,2.08,1,17.40805712,7.361622405,1.892715935,0.998144044,16000
Sample XVI,5000,14.3,50.5,760,0.82,18.83,21.84,81.17,88.42,4.51,7.07,4.51,2.08,1,17.40805712,7.361622405,1.892715935,0.998144044,16000
Sample XVI,6000,15.2,50.5,760,0.82,18.83,21.84,81.17,88.42,4.51,7.07,4.51,2.08,1,17.40805712,7.361622405,1.892715935,0.998144044,16000
Sample XVI,7000,15.8,50.5,760,0.82,18.83,21.84,81.17,88.42,4.51,7.07,4.51,2.08,1,17.40805712,7.361622405,1.892715935,0.998144044,16000
Sample XVI,8000,16.1,50.5,760,0.82,18.83,21.84,81.17,88.42,4.51,7.07,4.51,2.08,1,17.40805712,7.361622405,1.892715935,0.998144044,16000
Sample XII,500,3,48,665,0.95,20.15,16.51,79.85,86.81,3.92,9.27,3.92,1.3,1.16,18.15613837,6.831100333,1.901735837,0.999875882,16000
Sample XII,1000,5.7,48,665,0.95,20.15,16.51,79.85,86.81,3.92,9.27,3.92,1.3,1.16,18.15613837,6.831100333,1.901735837,0.999875882,16000
Sample XII,2000,9.3,48,665,0.95,20.15,16.51,79.85,86.81,3.92,9.27,3.92,1.3,1.16,18.15613837,6.831100333,1.901735837,0.999875882,16000
Sample XII,3000,11.6,48,665,0.95,20.15,16.51,79.85,86.81,3.92,9.27,3.92,1.3,1.16,18.15613837,6.831100333,1.901735837,0.999875882,16000
Sample XII,4000,13.3,48,665,0.95,20.15,16.51,79.85,86.81,3.92,9.27,3.92,1.3,1.16,18.15613837,6.831100333,1.901735837,0.999875882,16000
Sample XII,5000,14.5,48,665,0.95,20.15,16.51,79.85,86.81,3.92,9.27,3.92,1.3,1.16,18.15613837,6.831100333,1.901735837,0.999875882,16000
Sample XII,6000,15.4,48,665,0.95,20.15,16.51,79.85,86.81,3.92,9.27,3.92,1.3,1.16,18.15613837,6.831100333,1.901735837,0.999875882,16000
Sample XII,7000,16.1,48,665,0.95,20.15,16.51,79.85,86.81,3.92,9.27,3.92,1.3,1.16,18.15613837,6.831100333,1.901735837,0.999875882,16000
Sample XII,8000,16.8,48,665,0.95,20.15,16.51,79.85,86.81,3.92,9.27,3.92,1.3,1.16,18.15613837,6.831100333,1.901735837,0.999875882,16000
Sample IX A,500,1.7,50.8,771,1.65,24.66,7.86,75.34,18.86,55.24,0,81.14,16.09,1.09,13.69367673,6.490943124,1.855110639,0.999018173,20000
Sample IX A,1000,3,50.8,771,1.65,24.66,7.86,75.34,18.86,55.24,0,81.14,16.09,1.09,13.69367673,6.490943124,1.855110639,0.999018173,20000
Sample IX A,2000,5.4,50.8,771,1.65,24.66,7.86,75.34,18.86,55.24,0,81.14,16.09,1.09,13.69367673,6.490943124,1.855110639,0.999018173,20000
Sample IX A,3000,7,50.8,771,1.65,24.66,7.86,75.34,18.86,55.24,0,81.14,16.09,1.09,13.69367673,6.490943124,1.855110639,0.999018173,20000
Sample IX A,4000,8.6,50.8,771,1.65,24.66,7.86,75.34,18.86,55.24,0,81.14,16.09,1.09,13.69367673,6.490943124,1.855110639,0.999018173,20000
Sample IX A,5000,9.7,50.8,771,1.65,24.66,7.86,75.34,18.86,55.24,0,81.14,16.09,1.09,13.69367673,6.490943124,1.855110639,0.999018173,20000
Sample IX A,6000,10.5,50.8,771,1.65,24.66,7.86,75.34,18.86,55.24,0,81.14,16.09,1.09,13.69367673,6.490943124,1.855110639,0.999018173,20000
Sample IX A,7000,11.1,50.8,771,1.65,24.66,7.86,75.34,18.86,55.24,0,81.14,16.09,1.09,13.69367673,6.490943124,1.855110639,0.999018173,20000
Sample IX A,8000,11.6,50.8,771,1.65,24.66,7.86,75.34,18.86,55.24,0,81.14,16.09,1.09,13.69367673,6.490943124,1.855110639,0.999018173,20000
Sample IX A,9000,12,50.8,771,1.65,24.66,7.86,75.34,18.86,55.24,0,81.14,16.09,1.09,13.69367673,6.490943124,1.855110639,0.999018173,20000
Sample IX A,10000,12.3,50.8,771,1.65,24.66,7.86,75.34,18.86,55.24,0,81.14,16.09,1.09,13.69367673,6.490943124,1.855110639,0.999018173,20000
Sample II,500,3.6,25.3,937,0.72,13.65,28.37,86.35,19.8,23.86,0.51,79.7,4.37,1.19,24.07142597,5.942985443,1.632470565,0.99828936,16000
Sample II,1000,7.2,25.3,937,0.72,13.65,28.37,86.35,19.8,23.86,0.51,79.7,4.37,1.19,24.07142597,5.942985443,1.632470565,0.99828936,16000
Sample II,2000,10.8,25.3,937,0.72,13.65,28.37,86.35,19.8,23.86,0.51,79.7,4.37,1.19,24.07142597,5.942985443,1.632470565,0.99828936,16000
Sample II,3000,13.4,25.3,937,0.72,13.65,28.37,86.35,19.8,23.86,0.51,79.7,4.37,1.19,24.07142597,5.942985443,1.632470565,0.99828936,16000
Sample II,4000,16.2,25.3,937,0.72,13.65,28.37,86.35,19.8,23.86,0.51,79.7,4.37,1.19,24.07142597,5.942985443,1.632470565,0.99828936,16000
Sample II,5000,17.8,25.3,937,0.72,13.65,28.37,86.35,19.8,23.86,0.51,79.7,4.37,1.19,24.07142597,5.942985443,1.632470565,0.99828936,16000
Sample II,6000,19,25.3,937,0.72,13.65,28.37,86.35,19.8,23.86,0.51,79.7,4.37,1.19,24.07142597,5.942985443,1.632470565,0.99828936,16000
Sample II,7000,20.3,25.3,937,0.72,13.65,28.37,86.35,19.8,23.86,0.51,79.7,4.37,1.19,24.07142597,5.942985443,1.632470565,0.99828936,16000
Sample II,8000,21,25.3,937,0.72,13.65,28.37,86.35,19.8,23.86,0.51,79.7,4.37,1.19,24.07142597,5.942985443,1.632470565,0.99828936,16000
Sample VIII,500,3.2,51.6,799,0.95,17.28,21.95,82.72,93.65,0.53,0,6.35,17.47,1.27,19.80386781,6.673772828,1.708823957,0.998409093,16000
Sample VIII,1000,6.2,51.6,799,0.95,17.28,21.95,82.72,93.65,0.53,0,6.35,17.47,1.27,19.80386781,6.673772828,1.708823957,0.998409093,16000
Sample VIII,2000,9.2,51.6,799,0.95,17.28,21.95,82.72,93.65,0.53,0,6.35,17.47,1.27,19.80386781,6.673772828,1.708823957,0.998409093,16000
Sample VIII,3000,11.6,51.6,799,0.95,17.28,21.95,82.72,93.65,0.53,0,6.35,17.47,1.27,19.80386781,6.673772828,1.708823957,0.998409093,16000
Sample VIII,4000,13.8,51.6,799,0.95,17.28,21.95,82.72,93.65,0.53,0,6.35,17.47,1.27,19.80386781,6.673772828,1.708823957,0.998409093,16000
Sample VIII,5000,15.1,51.6,799,0.95,17.28,21.95,82.72,93.65,0.53,0,6.35,17.47,1.27,19.80386781,6.673772828,1.708823957,0.998409093,16000
Sample VIII,6000,16.3,51.6,799,0.95,17.28,21.95,82.72,93.65,0.53,0,6.35,17.47,1.27,19.80386781,6.673772828,1.708823957,0.998409093,16000
Sample VIII,7000,17,51.6,799,0.95,17.28,21.95,82.72,93.65,0.53,0,6.35,17.47,1.27,19.80386781,6.673772828,1.708823957,0.998409093,16000
Sample VIII,8000,17.5,51.6,799,0.95,17.28,21.95,82.72,93.65,0.53,0,6.35,17.47,1.27,19.80386781,6.673772828,1.708823957,0.998409093,16000
Sample X,500,2.9,50.2,750,1.21,21.04,13.91,78.96,90.4,1.2,0,9.6,13.49,1.29,17.56099097,6.736961188,1.757083626,0.999486786,16000
Sample X,1000,5.5,50.2,750,1.21,21.04,13.91,78.96,90.4,1.2,0,9.6,13.49,1.29,17.56099097,6.736961188,1.757083626,0.999486786,16000
Sample X,2000,8.4,50.2,750,1.21,21.04,13.91,78.96,90.4,1.2,0,9.6,13.49,1.29,17.56099097,6.736961188,1.757083626,0.999486786,16000
Sample X,3000,10.8,50.2,750,1.21,21.04,13.91,78.96,90.4,1.2,0,9.6,13.49,1.29,17.56099097,6.736961188,1.757083626,0.999486786,16000
Sample X,4000,12.3,50.2,750,1.21,21.04,13.91,78.96,90.4,1.2,0,9.6,13.49,1.29,17.56099097,6.736961188,1.757083626,0.999486786,16000
Sample X,5000,13.5,50.2,750,1.21,21.04,13.91,78.96,90.4,1.2,0,9.6,13.49,1.29,17.56099097,6.736961188,1.757083626,0.999486786,16000
Sample X,6000,14.6,50.2,750,1.21,21.04,13.91,78.96,90.4,1.2,0,9.6,13.49,1.29,17.56099097,6.736961188,1.757083626,0.999486786,16000
Sample X,7000,15.2,50.2,750,1.21,21.04,13.91,78.96,90.4,1.2,0,9.6,13.49,1.29,17.56099097,6.736961188,1.757083626,0.999486786,16000
Sample X,8000,15.8,50.2,750,1.21,21.04,13.91,78.96,90.4,1.2,0,9.6,13.49,1.29,17.56099097,6.736961188,1.757083626,0.999486786,16000
Sample XII A,500,2.6,48,665,0.95,20.15,16.51,79.85,86.81,3.92,9.27,3.92,1.3,1.16,17.76186429,6.237449716,1.584213295,0.999019877,16000
Sample XII A,1000,5,48,665,0.95,20.15,16.51,79.85,86.81,3.92,9.27,3.92,1.3,1.16,17.76186429,6.237449716,1.584213295,0.999019877,16000
Sample XII A,2000,7.6,48,665,0.95,20.15,16.51,79.85,86.81,3.92,9.27,3.92,1.3,1.16,17.76186429,6.237449716,1.584213295,0.999019877,16000
Sample XII A,3000,10,48,665,0.95,20.15,16.51,79.85,86.81,3.92,9.27,3.92,1.3,1.16,17.76186429,6.237449716,1.584213295,0.999019877,16000
Sample XII A,4000,11.3,48,665,0.95,20.15,16.51,79.85,86.81,3.92,9.27,3.92,1.3,1.16,17.76186429,6.237449716,1.584213295,0.999019877,16000
Sample XII A,5000,12.7,48,665,0.95,20.15,16.51,79.85,86.81,3.92,9.27,3.92,1.3,1.16,17.76186429,6.237449716,1.584213295,0.999019877,16000
Sample XII A,6000,13.9,48,665,0.95,20.15,16.51,79.85,86.81,3.92,9.27,3.92,1.3,1.16,17.76186429,6.237449716,1.584213295,0.999019877,16000
Sample XII A,7000,14.7,48,665,0.95,20.15,16.51,79.85,86.81,3.92,9.27,3.92,1.3,1.16,17.76186429,6.237449716,1.584213295,0.999019877,16000
Sample XII A,8000,15.3,48,665,0.95,20.15,16.51,79.85,86.81,3.92,9.27,3.92,1.3,1.16,17.76186429,6.237449716,1.584213295,0.999019877,16000
Sample V A,500,2.4,53.2,858,0.99,16.91,14.23,83.09,65.34,7.17,5.58,29.08,2.33,1.07,17.37195661,6.307705871,1.641242387,0.998751958,16000
Sample V A,1000,4.8,53.2,858,0.99,16.91,14.23,83.09,65.34,7.17,5.58,29.08,2.33,1.07,17.37195661,6.307705871,1.641242387,0.998751958,16000
Sample V A,2000,7.4,53.2,858,0.99,16.91,14.23,83.09,65.34,7.17,5.58,29.08,2.33,1.07,17.37195661,6.307705871,1.641242387,0.998751958,16000
Sample V A,3000,9.8,53.2,858,0.99,16.91,14.23,83.09,65.34,7.17,5.58,29.08,2.33,1.07,17.37195661,6.307705871,1.641242387,0.998751958,16000
Sample V A,4000,11.2,53.2,858,0.99,16.91,14.23,83.09,65.34,7.17,5.58,29.08,2.33,1.07,17.37195661,6.307705871,1.641242387,0.998751958,16000
Sample V A,5000,12.5,53.2,858,0.99,16.91,14.23,83.09,65.34,7.17,5.58,29.08,2.33,1.07,17.37195661,6.307705871,1.641242387,0.998751958,16000
Sample V A,6000,13.8,53.2,858,0.99,16.91,14.23,83.09,65.34,7.17,5.58,29.08,2.33,1.07,17.37195661,6.307705871,1.641242387,0.998751958,16000
Sample V A,7000,14.6,53.2,858,0.99,16.91,14.23,83.09,65.34,7.17,5.58,29.08,2.33,1.07,17.37195661,6.307705871,1.641242387,0.998751958,16000
Sample V A,8000,15,53.2,858,0.99,16.91,14.23,83.09,65.34,7.17,5.58,29.08,2.33,1.07,17.37195661,6.307705871,1.641242387,0.998751958,16000
Sample XV,500,2.8,59.7,1102,0.82,16.58,8.71,83.42,91.63,0.81,7.56,0.81,0.8,1.32,15.35907323,6.902952109,1.599044205,0.998537045,16000
Sample XV,1000,4.9,59.7,1102,0.82,16.58,8.71,83.42,91.63,0.81,7.56,0.81,0.8,1.32,15.35907323,6.902952109,1.599044205,0.998537045,16000
Sample XV,2000,7,59.7,1102,0.82,16.58,8.71,83.42,91.63,0.81,7.56,0.81,0.8,1.32,15.35907323,6.902952109,1.599044205,0.998537045,16000
Sample XV,3000,9,59.7,1102,0.82,16.58,8.71,83.42,91.63,0.81,7.56,0.81,0.8,1.32,15.35907323,6.902952109,1.599044205,0.998537045,16000
Sample XV,4000,10.5,59.7,1102,0.82,16.58,8.71,83.42,91.63,0.81,7.56,0.81,0.8,1.32,15.35907323,6.902952109,1.599044205,0.998537045,16000
Sample XV,5000,11.5,59.7,1102,0.82,16.58,8.71,83.42,91.63,0.81,7.56,0.81,0.8,1.32,15.35907323,6.902952109,1.599044205,0.998537045,16000
Sample XV,6000,12.4,59.7,1102,0.82,16.58,8.71,83.42,91.63,0.81,7.56,0.81,0.8,1.32,15.35907323,6.902952109,1.599044205,0.998537045,16000
Sample XV,7000,12.9,59.7,1102,0.82,16.58,8.71,83.42,91.63,0.81,7.56,0.81,0.8,1.32,15.35907323,6.902952109,1.599044205,0.998537045,16000
Sample XV,8000,13.4,59.7,1102,0.82,16.58,8.71,83.42,91.63,0.81,7.56,0.81,0.8,1.32,15.35907323,6.902952109,1.599044205,0.998537045,16000
Sample XIV A,500,2.5,55.6,950,0.33,17.53,13.68,82.47,89.49,3.37,7.14,3.37,2,1.13,16.66052347,6.655892166,1.780477963,0.999863415,16000
Sample XIV A,1000,4.8,55.6,950,0.33,17.53,13.68,82.47,89.49,3.37,7.14,3.37,2,1.13,16.66052347,6.655892166,1.780477963,0.999863415,16000
Sample XIV A,2000,7.8,55.6,950,0.33,17.53,13.68,82.47,89.49,3.37,7.14,3.37,2,1.13,16.66052347,6.655892166,1.780477963,0.999863415,16000
Sample XIV A,3000,10,55.6,950,0.33,17.53,13.68,82.47,89.49,3.37,7.14,3.37,2,1.13,16.66052347,6.655892166,1.780477963,0.999863415,16000
Sample XIV A,4000,11.5,55.6,950,0.33,17.53,13.68,82.47,89.49,3.37,7.14,3.37,2,1.13,16.66052347,6.655892166,1.780477963,0.999863415,16000
Sample XIV A,5000,12.8,55.6,950,0.33,17.53,13.68,82.47,89.49,3.37,7.14,3.37,2,1.13,16.66052347,6.655892166,1.780477963,0.999863415,16000
Sample XIV A,6000,13.6,55.6,950,0.33,17.53,13.68,82.47,89.49,3.37,7.14,3.37,2,1.13,16.66052347,6.655892166,1.780477963,0.999863415,16000
Sample XIV A,7000,14.4,55.6,950,0.33,17.53,13.68,82.47,89.49,3.37,7.14,3.37,2,1.13,16.66052347,6.655892166,1.780477963,0.999863415,16000
Sample XIV A,8000,15,55.6,950,0.33,17.53,13.68,82.47,89.49,3.37,7.14,3.37,2,1.13,16.66052347,6.655892166,1.780477963,0.999863415,16000
Sample XI B,500,3.2,50.8,771,1.65,24.66,7.86,75.34,18.86,55.24,0,81.14,16.09,1.09,19.33629309,6.727558483,1.731973797,0.998720028,16000
Sample XI B,1000,6,50.8,771,1.65,24.66,7.86,75.34,18.86,55.24,0,81.14,16.09,1.09,19.33629309,6.727558483,1.731973797,0.998720028,16000
Sample XI B,2000,9.4,50.8,771,1.65,24.66,7.86,75.34,18.86,55.24,0,81.14,16.09,1.09,19.33629309,6.727558483,1.731973797,0.998720028,16000
Sample XI B,3000,11.6,50.8,771,1.65,24.66,7.86,75.34,18.86,55.24,0,81.14,16.09,1.09,19.33629309,6.727558483,1.731973797,0.998720028,16000
Sample XI B,4000,13.2,50.8,771,1.65,24.66,7.86,75.34,18.86,55.24,0,81.14,16.09,1.09,19.33629309,6.727558483,1.731973797,0.998720028,16000
Sample XI B,5000,15,50.8,771,1.65,24.66,7.86,75.34,18.86,55.24,0,81.14,16.09,1.09,19.33629309,6.727558483,1.731973797,0.998720028,16000
Sample XI B,6000,16.1,50.8,771,1.65,24.66,7.86,75.34,18.86,55.24,0,81.14,16.09,1.09,19.33629309,6.727558483,1.731973797,0.998720028,16000
Sample XI B,7000,16.7,50.8,771,1.65,24.66,7.86,75.34,18.86,55.24,0,81.14,16.09,1.09,19.33629309,6.727558483,1.731973797,0.998720028,16000
Sample XI B,8000,17.2,50.8,771,1.65,24.66,7.86,75.34,18.86,55.24,0,81.14,16.09,1.09,19.33629309,6.727558483,1.731973797,0.998720028,16000
Sample VIII A,500,3.4,51.6,799,0.95,17.28,21.95,82.72,93.65,0.53,0,6.35,17.47,1.27,17.5579588,7.341607241,1.906587967,0.998996961,16000
Sample VIII A,1000,6.4,51.6,799,0.95,17.28,21.95,82.72,93.65,0.53,0,6.35,17.47,1.27,17.5579588,7.341607241,1.906587967,0.998996961,16000
Sample VIII A,2000,9.8,51.6,799,0.95,17.28,21.95,82.72,93.65,0.53,0,6.35,17.47,1.27,17.5579588,7.341607241,1.906587967,0.998996961,16000
Sample VIII A,3000,11.7,51.6,799,0.95,17.28,21.95,82.72,93.65,0.53,0,6.35,17.47,1.27,17.5579588,7.341607241,1.906587967,0.998996961,16000
Sample VIII A,4000,13.1,51.6,799,0.95,17.28,21.95,82.72,93.65,0.53,0,6.35,17.47,1.27,17.5579588,7.341607241,1.906587967,0.998996961,16000
Sample VIII A,5000,14.4,51.6,799,0.95,17.28,21.95,82.72,93.65,0.53,0,6.35,17.47,1.27,17.5579588,7.341607241,1.906587967,0.998996961,16000
Sample VIII A,6000,15.3,51.6,799,0.95,17.28,21.95,82.72,93.65,0.53,0,6.35,17.47,1.27,17.5579588,7.341607241,1.906587967,0.998996961,16000
Sample VIII A,7000,15.9,51.6,799,0.95,17.28,21.95,82.72,93.65,0.53,0,6.35,17.47,1.27,17.5579588,7.341607241,1.906587967,0.998996961,16000
Sample VIII A,8000,16.3,51.6,799,0.95,17.28,21.95,82.72,93.65,0.53,0,6.35,17.47,1.27,17.5579588,7.341607241,1.906587967,0.998996961,16000
BH A/12,372.826087,1,30,547.28,3.2,40.1,25.4,59.9,30.8,0,18.3,31.5,19.4,0.72,11.97092472,6.200918043,1.905069812,0.996026651,25447.90938
,881.0344828,2.137931034,30,547.28,3.2,40.1,25.4,59.9,30.8,0,18.3,31.5,19.4,0.72,11.97092472,6.200918043,1.905069812,0.996026651,25447.90938
,1727.640346,3.551724138,30,547.28,3.2,40.1,25.4,59.9,30.8,0,18.3,31.5,19.4,0.72,11.97092472,6.200918043,1.905069812,0.996026651,25447.90938
,2709.336998,4.75862069,30,547.28,3.2,40.1,25.4,59.9,30.8,0,18.3,31.5,19.4,0.72,11.97092472,6.200918043,1.905069812,0.996026651,25447.90938
,3725.112444,6.275862069,30,547.28,3.2,40.1,25.4,59.9,30.8,0,18.3,31.5,19.4,0.72,11.97092472,6.200918043,1.905069812,0.996026651,25447.90938
,4689.871731,7.448275862,30,547.28,3.2,40.1,25.4,59.9,30.8,0,18.3,31.5,19.4,0.72,11.97092472,6.200918043,1.905069812,0.996026651,25447.90938
,5722.001499,8.310344828,30,547.28,3.2,40.1,25.4,59.9,30.8,0,18.3,31.5,19.4,0.72,11.97092472,6.200918043,1.905069812,0.996026651,25447.90938
,6737.077295,9,30,547.28,3.2,40.1,25.4,59.9,30.8,0,18.3,31.5,19.4,0.72,11.97092472,6.200918043,1.905069812,0.996026651,25447.90938
,7734.895052,9.275862069,30,547.28,3.2,40.1,25.4,59.9,30.8,0,18.3,31.5,19.4,0.72,11.97092472,6.200918043,1.905069812,0.996026651,25447.90938
,8733.004331,9.896551724,30,547.28,3.2,40.1,25.4,59.9,30.8,0,18.3,31.5,19.4,0.72,11.97092472,6.200918043,1.905069812,0.996026651,25447.90938
,9747.84691,10.31034483,30,547.28,3.2,40.1,25.4,59.9,30.8,0,18.3,31.5,19.4,0.72,11.97092472,6.200918043,1.905069812,0.996026651,25447.90938
,10762.48542,10.48275862,30,547.28,3.2,40.1,25.4,59.9,30.8,0,18.3,31.5,19.4,0.72,11.97092472,6.200918043,1.905069812,0.996026651,25447.90938
,11726.3993,10.65517241,30,547.28,3.2,40.1,25.4,59.9,30.8,0,18.3,31.5,19.4,0.72,11.97092472,6.200918043,1.905069812,0.996026651,25447.90938
,12723.95469,10.62068966,30,547.28,3.2,40.1,25.4,59.9,30.8,0,18.3,31.5,19.4,0.72,11.97092472,6.200918043,1.905069812,0.996026651,25447.90938
BH A/17,410.7579462,0.910116778,30,632.29,3,41.2,27.2,58.8,65.7,0,5.7,15.4,13.2,0.71,11.82123602,6.123459652,1.753832265,0.999601213,25501.2225
,872.8606357,1.995186965,30,632.29,3,41.2,27.2,58.8,65.7,0,5.7,15.4,13.2,0.71,11.82123602,6.123459652,1.753832265,0.999601213,25501.2225
