Sample,Pressure (kPa),EXP_ADS (mL/g),Temparature ©,Depth (m),Moisture (%),VM(%),Ash (%),FC (%),Vitrinite (%),Semi- vitrinite (%),Liptinite (%),Inertinite (%),Mineral matter (%),Mean Ro (%),D–A maximum adsorption (mL/g),DA_E Characteristic adsorption energy (kJ/mol),DA_n Heterogeneity parameter,R2_D–A goodness of fit,DA_P0_2×Pmax​ (kPa)
,10000,5.2,40,180,1.1,35,16.2,47.7,45.5,0,9.8,23.7,21,0.57,6.589669282,6.463474619,1.340557103,0.999282337,24000
,11000,5.35,40,180,1.1,35,16.2,47.7,45.5,0,9.8,23.7,21,0.57,6.589669282,6.463474619,1.340557103,0.999282337,24000
,12000,5.45,40,180,1.1,35,16.2,47.7,45.5,0,9.8,23.7,21,0.57,6.589669282,6.463474619,1.340557103,0.999282337,24000
R-7 A,500,3.55,40,150,1,44,17.2,37.8,85.3,0.4,0.8,6.7,6.8,0.54,12.23073019,9.463051569,3.326121029,0.99751555,24000
,1000,6.3,40,150,1,44,17.2,37.8,85.3,0.4,0.8,6.7,6.8,0.54,12.23073019,9.463051569,3.326121029,0.99751555,24000
,1500,8.25,40,150,1,44,17.2,37.8,85.3,0.4,0.8,6.7,6.8,0.54,12.23073019,9.463051569,3.326121029,0.99751555,24000
,2000,9.5,40,150,1,44,17.2,37.8,85.3,0.4,0.8,6.7,6.8,0.54,12.23073019,9.463051569,3.326121029,0.99751555,24000
,3000,10.45,40,150,1,44,17.2,37.8,85.3,0.4,0.8,6.7,6.8,0.54,12.23073019,9.463051569,3.326121029,0.99751555,24000
,4000,10.95,40,150,1,44,17.2,37.8,85.3,0.4,0.8,6.7,6.8,0.54,12.23073019,9.463051569,3.326121029,0.99751555,24000
,5000,11.3,40,150,1,44,17.2,37.8,85.3,0.4,0.8,6.7,6.8,0.54,12.23073019,9.463051569,3.326121029,0.99751555,24000
,6000,11.65,40,150,1,44,17.2,37.8,85.3,0.4,0.8,6.7,6.8,0.54,12.23073019,9.463051569,3.326121029,0.99751555,24000
,7000,11.85,40,150,1,44,17.2,37.8,85.3,0.4,0.8,6.7,6.8,0.54,12.23073019,9.463051569,3.326121029,0.99751555,24000
,8000,12,40,150,1,44,17.2,37.8,85.3,0.4,0.8,6.7,6.8,0.54,12.23073019,9.463051569,3.326121029,0.99751555,24000
,9000,12.1,40,150,1,44,17.2,37.8,85.3,0.4,0.8,6.7,6.8,0.54,12.23073019,9.463051569,3.326121029,0.99751555,24000
,10000,12.2,40,150,1,44,17.2,37.8,85.3,0.4,0.8,6.7,6.8,0.54,12.23073019,9.463051569,3.326121029,0.99751555,24000
,11000,12.25,40,150,1,44,17.2,37.8,85.3,0.4,0.8,6.7,6.8,0.54,12.23073019,9.463051569,3.326121029,0.99751555,24000
,12000,12.3,40,150,1,44,17.2,37.8,85.3,0.4,0.8,6.7,6.8,0.54,21.6704214,5.382567613,1.31928155,0.99885764,11840
CG-81,330,3.2,30,117,2.98,28.31,12.78,55.93,69.02,0,0.66,30.32,10.56,1.15,21.6704214,5.382567613,1.31928155,0.99885764,11840
,850,5.7,30,117,2.98,28.31,12.78,55.93,69.02,0,0.66,30.32,10.56,1.15,21.6704214,5.382567613,1.31928155,0.99885764,11840
,1370,7.7,30,117,2.98,28.31,12.78,55.93,69.02,0,0.66,30.32,10.56,1.15,21.6704214,5.382567613,1.31928155,0.99885764,11840
,1860,9.5,30,117,2.98,28.31,12.78,55.93,69.02,0,0.66,30.32,10.56,1.15,21.6704214,5.382567613,1.31928155,0.99885764,11840
,2370,10.9,30,117,2.98,28.31,12.78,55.93,69.02,0,0.66,30.32,10.56,1.15,21.6704214,5.382567613,1.31928155,0.99885764,11840
,2890,12.1,30,117,2.98,28.31,12.78,55.93,69.02,0,0.66,30.32,10.56,1.15,21.6704214,5.382567613,1.31928155,0.99885764,11840
,3370,13.1,30,117,2.98,28.31,12.78,55.93,69.02,0,0.66,30.32,10.56,1.15,21.6704214,5.382567613,1.31928155,0.99885764,11840
,3900,14.3,30,117,2.98,28.31,12.78,55.93,69.02,0,0.66,30.32,10.56,1.15,21.6704214,5.382567613,1.31928155,0.99885764,11840
,4420,15.3,30,117,2.98,28.31,12.78,55.93,69.02,0,0.66,30.32,10.56,1.15,21.6704214,5.382567613,1.31928155,0.99885764,11840
