Sample,Pressure (kPa),EXP_ADS (mL/g),Langmuir_ADS (mL/g),Temparature ©,Depth (m),Moisture (%),VM(%),Ash (%),FC (%),Vitrinite (%),Semi- vitrinite (%),Liptinite (%),Inertinite (%),Mineral matter (%),Mean Ro (%),Max. EXP Pressure (kPa),Lan. Vol. Con. VL (mL/g),Lan. Pres. Con. PL (kPa),Correlation coefficient (R^2)
,5390,15.9,15.7254,30,95,2.61,33.86,10.92,52.61,83.15,0,1.94,14.93,17.7,0.94,5930,22.99,2490,0.99
,5930,16.1,16.1913,30,95,2.61,33.86,10.92,52.61,83.15,0,1.94,14.93,17.7,0.94,5930,22.99,2490,0.99
CG-119,390,3.5,2.7029,30,25,1.45,27.01,30.01,41.53,62.5,0,0.69,36.81,14.62,1.21,5930,22.94,2920,0.99
,910,5.6,5.4505,30,25,1.45,27.01,30.01,41.53,62.5,0,0.69,36.81,14.62,1.21,5930,22.94,2920,0.99
,1380,7.1,7.3621,30,25,1.45,27.01,30.01,41.53,62.5,0,0.69,36.81,14.62,1.21,5930,22.94,2920,0.99
,1870,8.1,8.9557,30,25,1.45,27.01,30.01,41.53,62.5,0,0.69,36.81,14.62,1.21,5930,22.94,2920,0.99
,2360,9.8,10.2535,30,25,1.45,27.01,30.01,41.53,62.5,0,0.69,36.81,14.62,1.21,5930,22.94,2920,0.99
,2920,11.2,11.47,30,25,1.45,27.01,30.01,41.53,62.5,0,0.69,36.81,14.62,1.21,5930,22.94,2920,0.99
,3390,12.2,12.3243,30,25,1.45,27.01,30.01,41.53,62.5,0,0.69,36.81,14.62,1.21,5930,22.94,2920,0.99
,3920,12.6,13.1469,30,25,1.45,27.01,30.01,41.53,62.5,0,0.69,36.81,14.62,1.21,5930,22.94,2920,0.99
,4430,13.3,13.8264,30,25,1.45,27.01,30.01,41.53,62.5,0,0.69,36.81,14.62,1.21,5930,22.94,2920,0.99
,4920,15,14.396,30,25,1.45,27.01,30.01,41.53,62.5,0,0.69,36.81,14.62,1.21,5930,22.94,2920,0.99
,5390,15.4,14.8793,30,25,1.45,27.01,30.01,41.53,62.5,0,0.69,36.81,14.62,1.21,5930,22.94,2920,0.99
,5930,15.8,15.3711,30,25,1.45,27.01,30.01,41.53,62.5,0,0.69,36.81,14.62,1.21,5930,22.94,2920,0.99
CG-121,390,3.2,2.9483,30,32,1.28,29.34,18.26,51.12,71.7,0,0.69,27.61,10.97,1.11,5940,23.36,2700,0.99
,900,5.9,5.84,30,32,1.28,29.34,18.26,51.12,71.7,0,0.69,27.61,10.97,1.11,5940,23.36,2700,0.99
,1380,7.3,7.9012,30,32,1.28,29.34,18.26,51.12,71.7,0,0.69,27.61,10.97,1.11,5940,23.36,2700,0.99
,1890,9.5,9.6188,30,32,1.28,29.34,18.26,51.12,71.7,0,0.69,27.61,10.97,1.11,5940,23.36,2700,0.99
,2370,10.8,10.9198,30,32,1.28,29.34,18.26,51.12,71.7,0,0.69,27.61,10.97,1.11,5940,23.36,2700,0.99
,2920,12.3,12.1372,30,32,1.28,29.34,18.26,51.12,71.7,0,0.69,27.61,10.97,1.11,5940,23.36,2700,0.99
,3390,13.3,13.0033,30,32,1.28,29.34,18.26,51.12,71.7,0,0.69,27.61,10.97,1.11,5940,23.36,2700,0.99
,3930,13.7,13.8469,30,32,1.28,29.34,18.26,51.12,71.7,0,0.69,27.61,10.97,1.11,5940,23.36,2700,0.99
,4440,14.2,14.5264,30,32,1.28,29.34,18.26,51.12,71.7,0,0.69,27.61,10.97,1.11,5940,23.36,2700,0.99
,4930,15.2,15.0937,30,32,1.28,29.34,18.26,51.12,71.7,0,0.69,27.61,10.97,1.11,5940,23.36,2700,0.99
,5400,15.7,15.5733,30,32,1.28,29.34,18.26,51.12,71.7,0,0.69,27.61,10.97,1.11,5940,23.36,2700,0.99
,5940,16.1,16.06,30,32,1.28,29.34,18.26,51.12,71.7,0,0.69,27.61,10.97,1.11,5940,23.36,2700,0.99
Bogra,371,3.1943,3.0457,30,160,7,38,10,45,73.9,0.4,4.2,15.8,5.7,0.64,5085,33,2701,1
Bogra,743,6.4371,6.1886,30,160,7,38,10,45,73.9,0.4,4.2,15.8,5.7,0.64,5085,33,2701,1
Bogra,1114,9.5457,9.2457,30,160,7,38,10,45,73.9,0.4,4.2,15.8,5.7,0.64,5085,33,2701,1
Bogra,1486,12.2943,11.9943,30,160,7,38,10,45,73.9,0.4,4.2,15.8,5.7,0.64,5085,33,2701,1
Bogra,1857,13.6755,13.3755,30,160,7,38,10,45,73.9,0.4,4.2,15.8,5.7,0.64,5085,33,2701,1
Bogra,2229,14.9786,14.6821,30,160,7,38,10,45,73.9,0.4,4.2,15.8,5.7,0.64,5085,33,2701,1
Bogra,2600,16.0000,15.7500,30,160,7,38,10,45,73.9,0.4,4.2,15.8,5.7,0.64,5085,33,2701,1
Bogra,2971,17.0214,16.8179,30,160,7,38,10,45,73.9,0.4,4.2,15.8,5.7,0.64,5085,33,2701,1
Bogra,3343,17.9571,17.7571,30,160,7,38,10,45,73.9,0.4,4.2,15.8,5.7,0.64,5085,33,2701,1
Bogra,3714,18.8429,18.6429,30,160,7,38,10,45,73.9,0.4,4.2,15.8,5.7,0.64,5085,33,2701,1
Bogra,4086,19.6321,19.4321,30,160,7,38,10,45,73.9,0.4,4.2,15.8,5.7,0.64,5085,33,2701,1
Bogra,4457,20.3929,20.1929,30,160,7,38,10,45,73.9,0.4,4.2,15.8,5.7,0.64,5085,33,2701,1
Bogra,4829,20.9964,20.7964,30,160,7,38,10,45,73.9,0.4,4.2,15.8,5.7,0.64,5085,33,2701,1
Bogra,5200,21.6000,21.4000,30,160,7,38,10,45,73.9,0.4,4.2,15.8,5.7,0.64,5085,33,2701,1
Kenda,443,1.8357,1.9929,30,107,4,40,12,44,65.3,1,9.7,16.6,7.4,0.62,6341,24,3082,0.998
Kenda,886,4.4571,4.2286,30,107,4,40,12,44,65.3,1,9.7,16.6,7.4,0.62,6341,24,3082,0.998
Kenda,1329,6.7204,6.3878,30,107,4,40,12,44,65.3,1,9.7,16.6,7.4,0.62,6341,24,3082,0.998
Kenda,1771,7.9224,7.5265,30,107,4,40,12,44,65.3,1,9.7,16.6,7.4,0.62,6341,24,3082,0.998
Kenda,2214,9.2429,8.9257,30,107,4,40,12,44,65.3,1,9.7,16.6,7.4,0.62,6341,24,3082,0.998
Kenda,2657,10.5714,10.2714,30,107,4,40,12,44,65.3,1,9.7,16.6,7.4,0.62,6341,24,3082,0.998
Kenda,3100,11.7667,11.4833,30,107,4,40,12,44,65.3,1,9.7,16.6,7.4,0.62,6341,24,3082,0.998
Kenda,3543,12.5048,12.2952,30,107,4,40,12,44,65.3,1,9.7,16.6,7.4,0.62,6341,24,3082,0.998
Kenda,3986,13.1304,12.9786,30,107,4,40,12,44,65.3,1,9.7,16.6,7.4,0.62,6341,24,3082,0.998
Kenda,4429,13.7476,13.6571,30,107,4,40,12,44,65.3,1,9.7,16.6,7.4,0.62,6341,24,3082,0.998
Kenda,4871,14.4857,14.5429,30,107,4,40,12,44,65.3,1,9.7,16.6,7.4,0.62,6341,24,3082,0.998
Kenda,5314,15.1714,15.2714,30,107,4,40,12,44,65.3,1,9.7,16.6,7.4,0.62,6341,24,3082,0.998
Kenda,5757,15.8095,15.9095,30,107,4,40,12,44,65.3,1,9.7,16.6,7.4,0.62,6341,24,3082,0.998
Kenda,6200,16.4000,16.5000,30,107,4,40,12,44,65.3,1,9.7,16.6,7.4,0.62,6341,24,3082,0.998
Narayankuri,486,1.0714,1.2714,30,46,7,41,15,37,73.8,0.8,6,11.4,7.9,0.64,6858,36,7351,0.996
Narayankuri,971,3.9143,3.9429,30,46,7,41,15,37,73.8,0.8,6,11.4,7.9,0.64,6858,36,7351,0.996
Narayankuri,1457,6.1714,5.9071,30,46,7,41,15,37,73.8,0.8,6,11.4,7.9,0.64,6858,36,7351,0.996
Narayankuri,1943,7.6286,7.2429,30,46,7,41,15,37,73.8,0.8,6,11.4,7.9,0.64,6858,36,7351,0.996
Narayankuri,2429,9.2286,8.7571,30,46,7,41,15,37,73.8,0.8,6,11.4,7.9,0.64,6858,36,7351,0.996
Narayankuri,2914,10.5071,10.0464,30,46,7,41,15,37,73.8,0.8,6,11.4,7.9,0.64,6858,36,7351,0.996
Narayankuri,3400,11.6000,11.2000,30,46,7,41,15,37,73.8,0.8,6,11.4,7.9,0.64,6858,36,7351,0.996
Narayankuri,3886,12.4500,12.1714,30,46,7,41,15,37,73.8,0.8,6,11.4,7.9,0.64,6858,36,7351,0.996
Narayankuri,4371,13.4000,13.2000,30,46,7,41,15,37,73.8,0.8,6,11.4,7.9,0.64,6858,36,7351,0.996
Narayankuri,4857,14.5214,14.3214,30,46,7,41,15,37,73.8,0.8,6,11.4,7.9,0.64,6858,36,7351,0.996
Narayankuri,5343,15.5536,15.3536,30,46,7,41,15,37,73.8,0.8,6,11.4,7.9,0.64,6858,36,7351,0.996
Narayankuri,5829,16.4429,16.2429,30,46,7,41,15,37,73.8,0.8,6,11.4,7.9,0.64,6858,36,7351,0.996
Narayankuri,6314,17.1333,16.9333,30,46,7,41,15,37,73.8,0.8,6,11.4,7.9,0.64,6858,36,7351,0.996
Narayankuri,6800,17.7000,17.5000,30,46,7,41,15,37,73.8,0.8,6,11.4,7.9,0.64,6858,36,7351,0.996
Satgram,300,1.7000,1.9000,30,190,4,40,17,39,49.7,0.8,11.3,27.2,11,0.61,4194,23,2553,1
Satgram,600,3.6500,3.5500,30,190,4,40,17,39,49.7,0.8,11.3,27.2,11,0.61,4194,23,2553,1
Satgram,900,5.8333,5.5667,30,190,4,40,17,39,49.7,0.8,11.3,27.2,11,0.61,4194,23,2553,1
Satgram,1200,7.2667,6.9667,30,190,4,40,17,39,49.7,0.8,11.3,27.2,11,0.61,4194,23,2553,1
Satgram,1500,8.2667,7.9667,30,190,4,40,17,39,49.7,0.8,11.3,27.2,11,0.61,4194,23,2553,1
Satgram,1800,9.1000,8.8333,30,190,4,40,17,39,49.7,0.8,11.3,27.2,11,0.61,4194,23,2553,1
Satgram,2100,9.8500,9.6333,30,190,4,40,17,39,49.7,0.8,11.3,27.2,11,0.61,4194,23,2553,1
Satgram,2400,10.5800,10.3800,30,190,4,40,17,39,49.7,0.8,11.3,27.2,11,0.61,4194,23,2553,1
Satgram,2700,11.3000,11.1000,30,190,4,40,17,39,49.7,0.8,11.3,27.2,11,0.61,4194,23,2553,1
Satgram,3000,12.0200,11.8200,30,190,4,40,17,39,49.7,0.8,11.3,27.2,11,0.61,4194,23,2553,1
Satgram,3300,12.6500,12.4750,30,190,4,40,17,39,49.7,0.8,11.3,27.2,11,0.61,4194,23,2553,1
Satgram,3600,13.1000,13.0000,30,190,4,40,17,39,49.7,0.8,11.3,27.2,11,0.61,4194,23,2553,1
Satgram,3900,13.5500,13.4500,30,190,4,40,17,39,49.7,0.8,11.3,27.2,11,0.61,4194,23,2553,1
Satgram,4200,14.0000,13.9000,30,190,4,40,17,39,49.7,0.8,11.3,27.2,11,0.61,4194,23,2553,1
Kalimati,414,3.6257,3.4257,30,172,1.2,36,28,34.8,12,1.3,7.3,61.3,18.1,0.96,5838,16,1894,0.999
Kalimati,829,5.4735,5.2735,30,172,1.2,36,28,34.8,12,1.3,7.3,61.3,18.1,0.96,5838,16,1894,0.999
Kalimati,1243,6.5388,6.3388,30,172,1.2,36,28,34.8,12,1.3,7.3,61.3,18.1,0.96,5838,16,1894,0.999
Kalimati,1657,7.5367,7.3367,30,172,1.2,36,28,34.8,12,1.3,7.3,61.3,18.1,0.96,5838,16,1894,0.999
Kalimati,2071,8.4245,8.2245,30,172,1.2,36,28,34.8,12,1.3,7.3,61.3,18.1,0.96,5838,16,1894,0.999
Kalimati,2486,9.2000,9.0000,30,172,1.2,36,28,34.8,12,1.3,7.3,61.3,18.1,0.96,5838,16,1894,0.999
Kalimati,2900,9.9250,9.7250,30,172,1.2,36,28,34.8,12,1.3,7.3,61.3,18.1,0.96,5838,16,1894,0.999
Kalimati,3314,10.3750,10.1750,30,172,1.2,36,28,34.8,12,1.3,7.3,61.3,18.1,0.96,5838,16,1894,0.999
Kalimati,3729,10.7375,10.5375,30,172,1.2,36,28,34.8,12,1.3,7.3,61.3,18.1,0.96,5838,16,1894,0.999
Kalimati,4143,11.0143,10.8571,30,172,1.2,36,28,34.8,12,1.3,7.3,61.3,18.1,0.96,5838,16,1894,0.999
Kalimati,4557,11.2732,11.1679,30,172,1.2,36,28,34.8,12,1.3,7.3,61.3,18.1,0.96,5838,16,1894,0.999
Kalimati,4971,11.5476,11.4476,30,172,1.2,36,28,34.8,12,1.3,7.3,61.3,18.1,0.96,5838,16,1894,0.999
Kalimati,5386,11.7619,11.6619,30,172,1.2,36,28,34.8,12,1.3,7.3,61.3,18.1,0.96,5838,16,1894,0.999
